enfermedad,sintomas_principales,sintomas_secundarios,descripcion,severidad,recomendaciones,categoria
Gripe (Influenza),"Fiebre alta (más de 38.5°C)|Tos seca|Dolor de cabeza (cefalea)|Fatiga extrema|Dolores musculares (mialgia)","Escalofríos|Dolor de garganta|Congestión nasal|Debilidad general|Malestar general","Infección viral del sistema respiratorio que causa síntomas sistémicos. Es más severa que un resfriado común.",moderada-grave,"Reposo en cama|Hidratación abundante (2-3 litros al día)|Analgésicos para fiebre y dolor (paracetamol)|Evitar contacto con otras personas|Consultar médico si fiebre persiste más de 3 días",Respiratoria
Resfriado Común,"Congestión nasal|Secreción nasal (rinorrea)|Estornudos frecuentes|Dolor de garganta","Tos leve|Fiebre baja (37.5°C - 38.5°C)|Dolor de cabeza (cefalea)|Fatiga leve","Infección viral leve del tracto respiratorio superior. Generalmente se resuelve sola en 7-10 días.",leve,"Descanso adecuado|Líquidos abundantes|Gárgaras con agua tibia y sal|Vitamina C|No requiere antibióticos",Respiratoria
Gastritis Aguda,"Dolor en la parte superior del abdomen|Náuseas|Acidez estomacal|Ardor estomacal","Vómitos|Hinchazón abdominal|Pérdida de apetito|Sensación de plenitud|Sabor amargo en la boca","Inflamación del revestimiento del estómago, generalmente causada por alimentos irritantes, estrés o medicamentos.",moderada,"Evitar alimentos irritantes (picantes, ácidos, grasosos)|Comer porciones pequeñas|Antiácidos según indicación médica|Evitar alcohol y tabaco|Reducir estrés",Digestiva
Gastroenteritis,"Diarrea acuosa|Náuseas|Vómitos|Dolor abdominal|Malestar general","Fiebre baja (37.5°C - 38.5°C)|Escalofríos|Debilidad general|Pérdida de apetito","Inflamación del tracto gastrointestinal, generalmente por infección viral o bacteriana. Puede causar deshidratación.",moderada,"Hidratación oral (suero oral)|Dieta blanda (arroz, plátano, manzana)|Evitar lácteos temporalmente|Lavado de manos frecuente|Consultar si hay sangre en heces",Digestiva
Migraña,"Dolor de cabeza (cefalea) intenso|Sensibilidad a la luz|Náuseas","Vómitos|Visión borrosa|Dolor en un lado de la cabeza|Mareos","Dolor de cabeza severo y recurrente, a menudo pulsátil, que puede durar horas o días.",moderada-grave,"Descansar en lugar oscuro y silencioso|Analgésicos específicos para migraña|Evitar desencadenantes (estrés, ciertos alimentos)|Compresas frías en la frente|Consultar neurólogo para tratamiento preventivo",Neurológica
Bronquitis Aguda,"Tos persistente|Tos con flema (productiva)|Dolor torácico|Dificultad para respirar (disnea)","Fiebre baja (37.5°C - 38.5°C)|Fatiga extrema|Opresión en el pecho|Silbidos al respirar","Inflamación de los bronquios, generalmente después de una infección respiratoria viral.",moderada,"Reposo|Líquidos abundantes|Evitar irritantes (humo, polvo)|Humidificador en casa|Consultar si dificultad respiratoria aumenta|No fumar",Respiratoria
Sinusitis,"Dolor sinusal|Presión facial|Congestión nasal|Secreción nasal espesa","Dolor de cabeza (cefalea)|Fiebre baja (37.5°C - 38.5°C)|Dolor al inclinarse|Tos con flema","Inflamación de los senos paranasales, puede ser viral o bacteriana.",moderada,"Inhalaciones de vapor|Compresas tibias en la cara|Descongestionantes nasales (máximo 3 días)|Analgésicos|Dormir con cabeza elevada|Consultar si persiste más de 10 días",Respiratoria
Faringitis (Dolor de garganta),"Dolor de garganta intenso|Dolor al tragar|Enrojecimiento de garganta","Fiebre|Inflamación de ganglios|Dolor de cabeza (cefalea)|Tos seca","Inflamación de la faringe, puede ser viral o bacteriana (estreptococo).",leve-moderada,"Gárgaras con agua tibia y sal|Analgésicos|Líquidos tibios (té con miel)|Pastillas para chupar|Consultar si fiebre alta o manchas blancas en garganta",Respiratoria
Reflujo Gastroesofágico (ERGE),"Acidez estomacal|Regurgitación ácida|Ardor estomacal|Dolor en el pecho","Tos seca nocturna|Ronquera|Dificultad al tragar|Sabor amargo en la boca","Retorno del contenido del estómago hacia el esófago, causando irritación.",moderada,"Evitar acostarse después de comer (2-3 horas)|Elevar cabecera de la cama|Evitar alimentos grasos, chocolate, café|Comer porciones pequeñas|Perder peso si hay sobrepeso|Antiácidos",Digestiva
Hipertensión (sospecha),"Dolor de cabeza (cefalea) matutino|Mareos|Visión borrosa","Fatiga|Sangrado nasal ocasional|Zumbido en los oídos (tinnitus)|Palpitaciones","Presión arterial elevada sostenida. A menudo asintomática, pero puede presentar síntomas.",moderada-grave,"Medir presión arterial regularmente|Reducir consumo de sal|Ejercicio regular|Control de peso|Reducir estrés|CONSULTA MÉDICA URGENTE",Cardiovascular
Anemia (sospecha),"Fatiga extrema|Debilidad general|Mareos|Palidez","Dolor de cabeza (cefalea)|Falta de aliento|Palpitaciones|Uñas quebradizas","Reducción de glóbulos rojos o hemoglobina en la sangre, causando falta de oxígeno en tejidos.",moderada,"Consumir alimentos ricos en hierro (carnes, espinacas, lentejas)|Vitamina C para absorción de hierro|Descanso adecuado|CONSULTA MÉDICA para análisis de sangre",Hematológica
Conjuntivitis,"Enrojecimiento ocular|Lagrimeo|Sensación de arena en ojos","Secreción ocular|Picazón en ojos|Hinchazón de párpados|Sensibilidad a la luz","Inflamación de la conjuntiva del ojo, puede ser viral, bacteriana o alérgica.",leve,"Compresas frías o tibias|Evitar tocarse los ojos|Lavado frecuente de manos|No compartir toallas|Consultar si secreción purulenta o dolor intenso",Oftalmológica
Cistitis (Infección Urinaria),"Dolor al orinar|Necesidad urgente de orinar|Orina turbia u oscura","Dolor en parte baja del abdomen|Fiebre baja (37.5°C - 38.5°C)|Sensación de vaciado incompleto","Infección bacteriana de la vejiga urinaria, más común en mujeres.",moderada,"Beber mucha agua (2-3 litros)|Orinar frecuentemente|Evitar retener orina|Jugo de arándano|CONSULTA MÉDICA para antibióticos|No automedicarse",Urológica
Alergia Estacional,"Estornudos frecuentes|Congestión nasal|Picazón en nariz y ojos|Lagrimeo","Tos seca|Picazón en garganta|Fatiga|Dolor de cabeza leve","Reacción alérgica a polen, polvo u otros alérgenos ambientales.",leve-moderada,"Antihistamínicos|Evitar alérgenos conocidos|Mantener ventanas cerradas en temporada de polen|Lavar ropa después de estar afuera|Ducha antes de dormir",Alérgica
Ansiedad (manifestación física),"Palpitaciones|Sudoración excesiva|Mareos|Dificultad para respirar","Dolor de cabeza (cefalea)|Tensión muscular|Fatiga|Náuseas|Temblores","Trastorno de ansiedad que se manifiesta con síntomas físicos. No es una enfermedad física pero requiere atención.",moderada,"Técnicas de respiración profunda|Ejercicio regular|Reducir cafeína|Meditación o mindfulness|Hablar con alguien de confianza|CONSULTA MÉDICA O PSICOLÓGICA",Mental
Deshidratación,"Sed intensa|Boca seca|Orina oscura|Mareos","Fatiga extrema|Dolor de cabeza (cefalea)|Confusión|Piel seca|Orina escasa","Pérdida excesiva de líquidos corporales sin reposición adecuada.",moderada-grave,"Beber agua gradualmente|Soluciones de rehidratación oral|Evitar ejercicio intenso|Descansar en lugar fresco|Consultar si no mejora o hay confusión severa",Metabólica
Neumonía,"Tos con flema (productiva)|Fiebre alta (más de 38.5°C)|Dificultad para respirar (disnea)|Dolor en el pecho al respirar","Escalofríos|Sudoración nocturna|Fatiga extrema|Dolor torácico|Respiración rápida (taquipnea)","Infección bacteriana o viral de los pulmones que causa inflamación de los alvéolos pulmonares.",grave,"Consulta médica URGENTE|Antibióticos según prescripción|Reposo absoluto|Hidratación abundante|Evitar fumar|Vacunación preventiva en grupos de riesgo",Respiratoria
Asma (Crisis),"Dificultad para respirar (disnea)|Silbidos al respirar|Opresión en el pecho|Tos persistente","Respiración sibilante|Fatiga al hacer ejercicio|Tos seca nocturna|Falta de aliento","Enfermedad crónica que inflama las vías respiratorias, causando episodios de dificultad respiratoria.",moderada-grave,"Usar inhalador de rescate|Evitar desencadenantes (alérgenos, humo)|Consulta médica para plan de manejo|Mantener medicación preventiva|Evitar ejercicio intenso durante crisis",Respiratoria
Otitis Media (Infección de oído),"Dolor de cabeza (cefalea)|Dolor facial|Fiebre","Mareos|Pérdida temporal de audición|Zumbido en los oídos (tinnitus)|Secreción del oído","Infección del oído medio, común en niños pero también afecta adultos.",moderada,"Analgésicos para el dolor|Compresas tibias en el oído|Evitar introducir objetos en el oído|Consultar médico si dolor persiste|Antibióticos si es bacteriana",Otológica
Amigdalitis,"Dolor de garganta intenso|Dolor al tragar|Fiebre alta (más de 38.5°C)|Inflamación de ganglios","Dolor de cabeza (cefalea)|Fatiga extrema|Pérdida de apetito|Malestar general","Inflamación de las amígdalas, generalmente por infección bacteriana (estreptococo) o viral.",moderada,"Analgésicos|Antibióticos si es bacteriana|Líquidos abundantes|Gárgaras con agua tibia y sal|Reposo|Consultar si dificultad para respirar",Respiratoria
Colitis,"Dolor abdominal agudo|Diarrea acuosa|Sangre en las heces|Dolor abdominal crónico","Fiebre baja (37.5°C - 38.5°C)|Pérdida de peso inexplicable|Fatiga extrema|Náuseas","Inflamación del colon que puede ser aguda o crónica, requiere evaluación médica.",moderada-grave,"CONSULTA MÉDICA URGENTE|Dieta específica según tipo|Evitar alimentos irritantes|Hidratación constante|Seguimiento médico regular|Reducir estrés",Digestiva
Úlcera Gástrica,"Dolor en la parte superior del abdomen|Ardor estomacal|Náuseas","Vómitos con sangre (hematemesis)|Heces negras (melena)|Pérdida de peso inexplicable|Sensación de plenitud","Lesión en la mucosa del estómago, puede causar sangrado si no se trata.",moderada-grave,"CONSULTA MÉDICA|Evitar AINEs (aspirina, ibuprofeno)|Comidas frecuentes y pequeñas|Evitar alcohol y tabaco|Antiácidos y protectores gástricos|Tratamiento para H. pylori si está presente",Digestiva
Artritis Reumatoide (sospecha),"Dolor articular|Rigidez matutina|Hinchazón de la piel|Fatiga extrema","Fiebre baja (37.5°C - 38.5°C)|Pérdida de peso inexplicable|Debilidad general|Dolor muscular","Enfermedad autoinmune que causa inflamación crónica de las articulaciones.",moderada-grave,"CONSULTA MÉDICA especialista (reumatólogo)|Antiinflamatorios según prescripción|Ejercicio suave regular|Fisioterapia|Proteger articulaciones del frío|Descanso adecuado",Reumatológica
Diabetes Tipo 2 (síntomas iniciales),"Sed intensa|Fatiga extrema|Orina escasa frecuente|Visión borrosa","Pérdida de peso inexplicable|Mareos|Debilidad general|Cicatrización lenta de heridas","Trastorno metabólico con niveles elevados de glucosa en sangre. Detección temprana es crucial.",moderada-grave,"CONSULTA MÉDICA URGENTE para análisis de sangre|Dieta baja en azúcares refinados|Ejercicio regular|Control de peso|Monitoreo de glucosa|Evitar bebidas azucaradas",Metabólica
Hipotiroidismo (sospecha),"Fatiga extrema|Pérdida de cabello|Piel seca|Sensación de frío constante","Estreñimiento|Pérdida de peso inexplicable o aumento|Debilidad muscular|Uñas quebradizas","Producción insuficiente de hormona tiroidea, afecta el metabolismo general del cuerpo.",moderada,"CONSULTA MÉDICA endocrinólogo|Análisis de TSH en sangre|Medicación hormonal sustitutiva|Dieta rica en yodo (sal yodada, pescado)|Ejercicio moderado regular",Endocrinológica
Infección Respiratoria Aguda (IRA),"Tos persistente|Fiebre|Congestión nasal|Dolor de garganta","Dolor de cabeza (cefalea)|Fatiga extrema|Dolores musculares (mialgia)|Estornudos frecuentes","Infección viral o bacteriana del tracto respiratorio superior, muy común en épocas de frío.",leve-moderada,"Reposo|Hidratación abundante|Analgésicos para síntomas|Evitar cambios bruscos de temperatura|Lavado de manos frecuente|Consultar si empeora después de 5 días",Respiratoria
Dermatitis de Contacto,"Erupción cutánea|Picazón en la piel|Enrojecimiento de la piel|Hinchazón de la piel","Llagas en la piel|Piel seca|Ardor o quemazón en piel","Reacción alérgica o irritación de la piel por contacto con sustancias específicas.",leve-moderada,"Identificar y evitar el irritante|Compresas frías|Cremas con corticoides (según prescripción)|Antihistamínicos para picazón|Mantener área limpia y seca|No rascar",Dermatológica
Insomnio Crónico,"Fatiga extrema|Dolor de cabeza (cefalea)|Dificultad para concentrarse|Irritabilidad","Mareos|Tensión muscular|Debilidad general|Ojeras marcadas","Dificultad persistente para conciliar o mantener el sueño, afecta calidad de vida y salud general.",moderada,"Higiene del sueño (horarios regulares)|Evitar cafeína después de las 2 PM|Ejercicio regular (no antes de dormir)|Ambiente oscuro y silencioso|Reducir pantallas antes de dormir|Técnicas de relajación|CONSULTA si persiste más de 3 semanas",Mental
Hipertiroidismo (sospecha),"Palpitaciones|Sudoración excesiva|Pérdida de peso inexplicable|Temblores","Fatiga extrema|Intolerancia al calor|Ritmo cardíaco irregular|Nerviosismo|Debilidad muscular","Producción excesiva de hormona tiroidea, acelera el metabolismo del cuerpo.",moderada-grave,"CONSULTA MÉDICA URGENTE endocrinólogo|Análisis de TSH en sangre|Medicación antitiroidea según prescripción|Evitar estimulantes (cafeína)|Dieta equilibrada|Reducir estrés",Endocrinológica
Herpes Zóster (Culebrilla),"Erupción cutánea unilateral|Dolor intenso tipo quemazón|Picazón en la piel|Enrojecimiento de la piel","Fiebre baja (37.5°C - 38.5°C)|Dolor de cabeza (cefalea)|Fatiga extrema|Sensibilidad al tacto","Reactivación del virus varicela-zóster, causa erupción dolorosa en un lado del cuerpo.",moderada-grave,"CONSULTA MÉDICA URGENTE (primeras 72 horas)|Antivirales|Analgésicos para dolor neuropático|Mantener área limpia y seca|Evitar contacto con embarazadas y personas sin inmunidad|Compresas frías",Dermatológica
Depresión (manifestación física),"Fatiga extrema|Dolor de cabeza (cefalea)|Pérdida de apetito|Alteraciones del sueño","Dolor abdominal|Dolor muscular generalizado|Pérdida de peso inexplicable|Debilidad general","Trastorno del estado de ánimo que se manifiesta con síntomas físicos además de emocionales.",moderada-grave,"CONSULTA MÉDICA O PSIQUIÁTRICA|Psicoterapia|Ejercicio regular|Mantener rutinas|Alimentación balanceada|Apoyo social|Medicación si se prescribe|Evitar alcohol",Mental
Angina de Pecho (sospecha),"Dolor en el pecho|Presión en el pecho|Dolor que irradia al brazo izquierdo|Sudoración fría","Palpitaciones|Disnea de esfuerzo|Fatiga al hacer ejercicio|Náuseas|Mareos","Dolor torácico por reducción del flujo sanguíneo al corazón. Puede ser precursor de infarto.",moderada-grave,"CONSULTA MÉDICA URGENTE|Reposo inmediato|Evitar esfuerzos físicos|Nitroglicerina sublingual según prescripción|Control de factores de riesgo|Electrocardiograma|NO ignorar el dolor torácico",Cardiovascular
Infarto Agudo de Miocardio (sospecha),"Dolor en el pecho intenso|Dolor que irradia al brazo izquierdo|Sudoración fría|Dificultad para respirar (disnea)","Náuseas|Vómitos|Palpitaciones|Ansiedad intensa|Sensación de muerte inminente","Obstrucción de arteria coronaria que causa muerte del músculo cardíaco. EMERGENCIA MÉDICA.",grave,"LLAMAR EMERGENCIAS INMEDIATAMENTE (911)|Masticar aspirina 300mg|No conducir al hospital|Reposo absoluto|Aflojar ropa ajustada|Monitoreo continuo|ATENCIÓN INMEDIATA",Cardiovascular
Accidente Cerebrovascular (ACV - sospecha),"Debilidad muscular súbita en un lado|Confusión mental|Dificultad para hablar|Pérdida de equilibrio","Visión borrosa|Dolor de cabeza (cefalea) severo|Mareos|Entumecimiento facial|Pérdida de conciencia","Interrupción del flujo sanguíneo cerebral. EMERGENCIA que requiere atención inmediata.",grave,"LLAMAR EMERGENCIAS (911) INMEDIATAMENTE|No dar comida ni bebida|Anotar hora de inicio de síntomas|Acostado con cabeza elevada 30°|Test FAST (Face-Arms-Speech-Time)|Cada minuto cuenta",Neurológica
Epilepsia (Crisis Convulsiva),"Convulsiones|Pérdida de conciencia|Rigidez muscular|Movimientos involuntarios","Confusión mental post-ictal|Mordedura de lengua|Incontinencia urinaria|Fatiga extrema","Trastorno neurológico con actividad eléctrica cerebral anormal que causa convulsiones.",moderada-grave,"PROTEGER durante crisis (alejar objetos)|NO introducir nada en boca|Posición de seguridad lateral|Cronometrar duración|CONSULTA NEUROLÓGICA|Medicación anticonvulsivante|Evitar desencadenantes",Neurológica
Pielonefritis (Infección Renal),"Fiebre alta (más de 38.5°C)|Dolor en la zona lumbar|Dolor al orinar (disuria)|Escalofríos","Náuseas|Vómitos|Orina turbia|Sangre en la orina (hematuria)|Malestar general","Infección bacteriana del riñón, más severa que cistitis simple. Requiere antibióticos.",moderada-grave,"CONSULTA MÉDICA URGENTE|Antibióticos según cultivo|Hidratación abundante (3 litros/día)|Analgésicos|Reposo|Hospitalización si es severa|No automedicarse",Urológica
Cálculos Renales (Cólico Renal),"Dolor en la zona lumbar intenso|Sangre en la orina (hematuria)|Dolor al orinar (disuria)|Ganas frecuentes de orinar","Náuseas|Vómitos|Sudoración excesiva|Dolor que irradia a genitales|Orina turbia","Cristalización de minerales en riñón que causa dolor intenso al moverse por vías urinarias.",moderada-grave,"CONSULTA MÉDICA URGENTE|Analgésicos potentes|Hidratación abundante|Antiinflamatorios|Filtrar orina para capturar cálculo|Ultrasonido o TAC|Litotricia si es necesario",Urológica
Insuficiencia Cardíaca (descompensada),"Dificultad para respirar (disnea)|Hinchazón en piernas|Fatiga extrema|Tos con flema (productiva)","Edema periférico|Disnea paroxística nocturna|Ortopnea|Palpitaciones|Aumento de peso súbito","El corazón no bombea sangre eficientemente, causa acumulación de líquidos.",grave,"CONSULTA CARDIOLÓGICA URGENTE|Diuréticos según prescripción|Restricción de sal (<2g/día)|Control diario de peso|Elevación de piernas|Evitar esfuerzos|Monitoreo continuo",Cardiovascular
Hipertiroidismo Severo (Crisis Tirotóxica),"Taquicardia|Fiebre alta (más de 38.5°C)|Sudoración excesiva|Temblores","Confusión mental|Agitación|Náuseas|Vómitos|Diarrea acuosa","Crisis hipertiroidea con síntomas exacerbados. Puede ser mortal sin tratamiento.",grave,"EMERGENCIA MÉDICA URGENTE|Hospitalización|Antitiroideos IV|Beta-bloqueadores|Hidratación|Control de temperatura|Tratar causa desencadenante",Endocrinológica
Crisis Hipertensiva,"Presión arterial sistólica >180 mmHg|Dolor de cabeza (cefalea) severo|Visión borrosa|Mareos","Náuseas|Vómitos|Dolor en el pecho|Dificultad para respirar (disnea)|Sangrado nasal","Elevación súbita y peligrosa de presión arterial que puede dañar órganos.",grave,"EMERGENCIA MÉDICA|Reposo absoluto|No bajar presión bruscamente|Medicación antihipertensiva IV|Monitoreo continuo|Evaluación de daño en órganos diana",Cardiovascular
Leucemia Aguda (sospecha),"Fatiga extrema|Fiebre sin foco infeccioso|Sangrado fácil|Hematomas espontáneos","Petequias generalizadas|Palidez|Adenopatías generalizadas|Pérdida de peso inexplicable|Sudoración nocturna profusa","Cáncer de células sanguíneas que se multiplican descontroladamente. Requiere evaluación urgente.",grave,"CONSULTA HEMATOLÓGICA URGENTE|Análisis de sangre completo|Biopsia de médula ósea|Evitar traumatismos|Transfusiones si necesario|Iniciar quimioterapia según tipo",Hematológica
Trombocitopenia Severa,"Petequias generalizadas|Sangrado gingival|Epistaxis frecuente|Hematomas espontáneos","Sangre en orina|Sangre en heces|Sangrado menstrual excesivo|Fatiga extrema","Nivel bajo de plaquetas en sangre, aumenta riesgo de hemorragia.",moderada-grave,"CONSULTA HEMATOLÓGICA URGENTE|Evitar traumatismos|No aspirina ni AINEs|Transfusión de plaquetas si <10,000|Corticoides según causa|Protección en actividades",Hematológica
Meningitis (sospecha),"Fiebre alta (más de 38.5°C)|Dolor de cabeza (cefalea) intenso|Rigidez de nuca|Fotofobia","Náuseas|Vómitos|Confusión mental|Convulsiones|Erupción petequial","Inflamación de meninges cerebrales, puede ser viral o bacteriana. EMERGENCIA.",grave,"EMERGENCIA MÉDICA INMEDIATA|Hospitalización urgente|Punción lumbar|Antibióticos IV empíricos|Aislamiento si es bacteriana|Corticoides|Profilaxis contactos",Neurológica
Apendicitis Aguda,"Dolor periumbilical que migra a cuadrante inferior derecho|Náuseas|Vómitos|Fiebre","Pérdida de apetito|Rigidez abdominal|Signo de Blumberg positivo|Estreñimiento o diarrea","Inflamación del apéndice que requiere cirugía. No dar analgésicos antes de evaluar.",moderada-grave,"CONSULTA QUIRÚRGICA URGENTE|No comer ni beber|No analgésicos hasta diagnóstico|Apendicectomía (cirugía)|No aplicar calor en abdomen|Antibióticos perioperatorios",Digestiva
Pancreatitis Aguda,"Dolor en la parte superior del abdomen severo|Náuseas|Vómitos|Dolor que irradia a espalda","Fiebre|Taquicardia|Distensión abdominal|Ictericia leve|Signo de Cullen","Inflamación del páncreas, frecuentemente por cálculos biliares o alcohol.",grave,"HOSPITALIZACIÓN URGENTE|Ayuno absoluto|Hidratación IV|Analgésicos potentes|Monitoreo enzimas pancreáticas|Tratamiento de complicaciones|Cirugía si es necesario",Digestiva
Glaucoma Agudo,"Dolor ocular intenso|Visión borrosa|Náuseas|Vómitos","Ojo rojo|Halos alrededor de luces|Fotofobia|Dolor de cabeza (cefalea)|Córnea turbia","Aumento súbito de presión intraocular. Puede causar ceguera permanente.",grave,"EMERGENCIA OFTALMOLÓGICA|Gotas hipotensoras oculares|Acetazolamida|Manitol IV|Iridotomía láser urgente|No dilatar pupila|Reducir presión en 4-6 horas",Oftalmológica
Trombosis Venosa Profunda (TVP),"Hinchazón en piernas unilateral|Dolor en pierna|Calor en pierna|Enrojecimiento de la piel","Venas superficiales dilatadas|Pulso disminuido|Edema asimétrico|Dolor al caminar","Coágulo en vena profunda, puede causar embolia pulmonar si se desprende.",moderada-grave,"CONSULTA VASCULAR URGENTE|Dúplex venoso|Anticoagulación inmediata|Reposo con pierna elevada|Medias de compresión|Evitar masajes en zona|Monitoreo embolia pulmonar",Cardiovascular
Embolia Pulmonar (sospecha),"Dificultad para respirar (disnea) súbita|Dolor en el pecho al respirar|Taquicardia|Tos","Tos con sangre (hemoptisis)|Sudoración excesiva|Mareos|Ansiedad intensa|Síncope","Obstrucción de arteria pulmonar por coágulo. EMERGENCIA MÉDICA.",grave,"EMERGENCIA - LLAMAR 911|Oxígeno suplementario|Anticoagulación urgente|Angiotomografía pulmonar|Trombolisis si es masiva|Reposo absoluto|UCI si inestabilidad",Respiratoria
Cetoacidosis Diabética,"Sed intensa|Orina frecuente|Náuseas|Vómitos","Aliento con olor a frutas|Respiración rápida (taquipnea)|Confusión mental|Dolor abdominal|Debilidad extrema","Complicación grave de diabetes con glucosa muy elevada y acidez sanguínea.",grave,"EMERGENCIA DIABETOLÓGICA|Hospitalización|Insulina IV|Hidratación agresiva|Corrección electrolitos|Monitoreo glucosa continuo|Identificar causa desencadenante",Metabólica
Síndrome Nefrótico,"Edema generalizado|Orina espumosa|Aumento de peso súbito|Fatiga extrema","Hinchazón facial matutina|Ascitis|Pérdida de apetito|Orina escasa|Hipertensión","Pérdida masiva de proteínas por orina, causa edema generalizado.",moderada-grave,"CONSULTA NEFROLÓGICA URGENTE|Análisis de orina 24h|Biopsia renal|Dieta baja en sal|Diuréticos|Protectores renales|Control de presión arterial",Urológica
Enfermedad Celíaca (activa),"Diarrea crónica|Dolor abdominal|Hinchazón abdominal|Pérdida de peso inexplicable","Fatiga extrema|Anemia|Esteatorrea|Dermatitis herpetiforme|Osteoporosis prematura","Intolerancia autoinmune al gluten que daña intestino delgado.",moderada,"CONSULTA GASTROENTEROLÓGICA|Dieta sin gluten estricta de por vida|Suplementos vitamínicos|Monitoreo anticuerpos|Biopsia intestinal para diagnóstico|Educación nutricional",Digestiva
Lupus Eritematoso Sistémico (brote),"Fatiga extrema|Fiebre intermitente|Dolor articular|Erupción malar","Fotosensibilidad|Úlceras orales|Pérdida de cabello|Dolor torácico|Fenómeno de Raynaud","Enfermedad autoinmune que afecta múltiples órganos. Cursa con brotes y remisiones.",moderada-grave,"CONSULTA REUMATOLÓGICA|Inmunosupresores|Corticoides en brotes|Protección solar estricta|Evitar estrés|Hidroxicloroquina|Monitoreo renal y cardíaco",Reumatológica
