categoria,sintoma
Síntomas Generales,Fiebre
Síntomas Generales,Fiebre alta (más de 38.5°C)
Síntomas Generales,Fiebre baja (37.5°C - 38.5°C)
Síntomas Generales,Escalofríos
Síntomas Generales,Sudoración nocturna
Síntomas Generales,Fatiga extrema
Síntomas Generales,Debilidad general
Síntomas Generales,Malestar general
Síntomas Generales,Dolores musculares (mialgia)
Síntomas Generales,Dolor de cabeza (cefalea)
Síntomas Generales,Pérdida de apetito
Síntomas Generales,Malestar corporal
Síntomas Generales,Temperatura corporal elevada
Síntomas Generales,Agotamiento
Síntomas Generales,Sensación de malestar
Síntomas Generales,Dolor articular
Síntomas Generales,Rigidez matutina
Síntomas Generales,Pérdida de peso inexplicable
Síntomas Generales,Fiebre intermitente
Síntomas Generales,Sudoración excesiva
Síntomas Generales,Linfadenopatía (ganglios inflamados)
Síntomas Generales,Irritabilidad
Síntomas Generales,Somnolencia diurna
Síntomas Generales,Insomnio
Síntomas Generales,Pérdida de peso repentina
Síntomas Generales,Aumento de peso inexplicable
Síntomas Generales,Temblores finos
Síntomas Generales,Intolerancia al frío
Síntomas Generales,Intolerancia al calor
Síntomas Generales,Sed excesiva (polidipsia)
Síntomas Generales,Hambre excesiva (polifagia)
Síntomas Generales,Orina frecuente (poliuria)
Síntomas Generales,Cansancio post-esfuerzo
Síntomas Generales,Palidez generalizada
Síntomas Generales,Ictericia leve
Síntomas Generales,Edema generalizado
Síntomas Generales,Fiebre recurrente
Síntomas Generales,Síntomas gripales persistentes
Síntomas Generales,Dolor óseo difuso
Síntomas Generales,Hematomas espontáneos
Síntomas Generales,Sangrado fácil
Síntomas Generales,Adenopatías cervicales
Síntomas Generales,Adenopatías axilares
Síntomas Generales,Adenopatías inguinales
Síntomas Generales,Escalofríos con fiebre
Síntomas Generales,Sudoración fría
Síntomas Generales,Desmayo previo
Síntomas Generales,Síncope vasovagal
Síntomas Generales,Ansiedad generalizada
Síntomas Generales,Depresión persistente
Síntomas Generales,Anhedonia
Síntomas Respiratorios,Tos seca
Síntomas Respiratorios,Tos con flema (productiva)
Síntomas Respiratorios,Tos persistente
Síntomas Respiratorios,Dolor de garganta
Síntomas Respiratorios,Congestión nasal
Síntomas Respiratorios,Secreción nasal (rinorrea)
Síntomas Respiratorios,Estornudos frecuentes
Síntomas Respiratorios,Dificultad para respirar (disnea)
Síntomas Respiratorios,Opresión en el pecho
Síntomas Respiratorios,Dolor en el pecho al respirar
Síntomas Respiratorios,Ronquera
Síntomas Respiratorios,Falta de aliento
Síntomas Respiratorios,Dolor al tragar
Síntomas Respiratorios,Picazón en la garganta
Síntomas Respiratorios,Nariz tapada
Síntomas Respiratorios,Respiración sibilante
Síntomas Respiratorios,Dolor sinusal
Síntomas Respiratorios,Presión facial
Síntomas Respiratorios,Tos con sangre (hemoptisis)
Síntomas Respiratorios,Dolor torácico
Síntomas Respiratorios,Respiración rápida (taquipnea)
Síntomas Respiratorios,Silbidos al respirar
Síntomas Respiratorios,Tos crónica (>8 semanas)
Síntomas Respiratorios,Expectoración purulenta
Síntomas Respiratorios,Dificultad para respirar al acostarse
Síntomas Respiratorios,Ortopnea
Síntomas Respiratorios,Disnea paroxística nocturna
Síntomas Respiratorios,Asma inducida por ejercicio
Síntomas Respiratorios,Rinitis alérgica
Síntomas Respiratorios,Sinusitis aguda
Síntomas Respiratorios,Sinusitis crónica
Síntomas Respiratorios,Broncoespasmo
Síntomas Respiratorios,Cianosis periférica
Síntomas Respiratorios,Cianosis central
Síntomas Respiratorios,Tos ferina
Síntomas Respiratorios,Estridor
Síntomas Respiratorios,Roncus
Síntomas Respiratorios,Crepitaciones pulmonares
Síntomas Respiratorios,Sibilancias bilaterales
Síntomas Respiratorios,Dolor pleurítico
Síntomas Digestivos,Dolor abdominal
Síntomas Digestivos,Dolor abdominal agudo
Síntomas Digestivos,Náuseas
Síntomas Digestivos,Vómitos
Síntomas Digestivos,Vómitos con sangre (hematemesis)
Síntomas Digestivos,Acidez estomacal
Síntomas Digestivos,Hinchazón abdominal
Síntomas Digestivos,Gases excesivos
